'1056-3','SAVANNA MADDIE','Female','Canine',3392,14,'pounds'
'1060-1','RUSTY','Neutered Male','Canine',,7,'pounds'
'1062-4','ABBY','Female','Canine',3423,12.5,'pounds'
'1062-5','REX','Male','Canine',2999,52,'pounds'
'1062-6','KATE','Female','Canine',2478,23,'pounds'
'1062-7','CHLOE','Spayed Female','Feline',3557,8.3,'pounds'
'1062-8','JILL','Female','Canine',1716,391,'pounds'
'1066-1','MOLLY','Spayed Female','Canine',2006,94.1,'pounds'
'1067-10','MAGGIE','Spayed Female','Canine',1874,7.3,'pounds'
'1067-11','PUP 3','Male','Canine',1306,1.12000000000000015,'pounds'
'1067-12','BLONDIE','Female','Canine',3152,6.6,'pounds'
'1067-13','LYDIA','Female','Canine',2090,5.1,'pounds'
'1067-14','GRAY BABY','Female','Canine',1660,3.15,'pounds'
'1067-15','PUP 4','Male','Canine',1306,1.11000000000000015,'pounds'
'1067-16','BABY DARLA','Female','Canine',1306,21.2,'pounds'
'1067-17','PUP 7','Female','Canine',1579,2.04,'pounds'
'1067-18','PUP 8','Female','Canine',1579,2.04,'pounds'
'1067-19','PUP 9','Male','Canine',1579,2.0099999999999997,'pounds'
'1067-2','GRETCHEN','Spayed Female','Canine',5283,10.4,'pounds'
'1067-21','PUP 1','Female','Canine',1306,1.07000000000000015,'pounds'
'1067-3','SISSY','Spayed Female','Canine',5923,16,'pounds'
'1067-4','BRODIE','Male','Canine',5253,65.8,'pounds'
'1067-5','CHI-CHI','Spayed Female','Canine',3263,7.5,'pounds'
'1067-6','HUGH','Male','Canine',2709,8.9,'pounds'
'1067-7','MARILYN','Spayed Female','Canine',2383,3.1,'pounds'
'1067-8','BUDDY','Male','Canine',2307,7.12,'pounds'
'1067-9','BOO','Spayed Female','Canine',2227,6,'pounds'
'1069-1','SADIE','Spayed Female','Canine',6745,50,'pounds'
'1069-2','BUDDY','Neutered Male','Canine',3912,103.3,'pounds'
'1069-3','SHADOW','Neutered Male','Canine',2459,77.6,'pounds'
'107-1','ABBY','Female','Canine',6467,14.3,'pounds'
'107-3','LOUIE','Male','Canine',6504,139,'pounds'
'1075-1','KATIE','Spayed Female','Canine',7749,66.2,'pounds'
'1075-3','BARKLEY','Neutered Male','Canine',2887,109,'pounds'
'1076-1','BABY','Spayed Female','Canine',,58,'pounds'
'1076-3','WILLIE','Neutered Male','Canine',5772,18.4,'pounds'
'1077-1','SCAMPER','Female','Feline',752,1.12000000000000015,'pounds'
'1077-2','BABE','Spayed Female','Feline',4949,4.1,'pounds'
'1077-3','DOT','Spayed Female','Canine',4789,47.8,'pounds'
'1077-5','SQUIRT','Male','Feline',1282,6.01,'pounds'
'108-11','BOOTSIE','Spayed Female','Feline',3508,8.1,'pounds'
'108-13','ROGER','Neutered Male','Feline',,13.15,'pounds'
'108-14','ROJO','Neutered Male','Feline',940,12.15,'pounds'
'108-15','BUBBA','Neutered Male','Feline',2638,14.039999999999997,'pounds'
'108-16','COOKIE','Spayed Female','Feline',3733,9,'pounds'
'108-17','OMAR','Neutered Male','Feline',2638,8.09,'pounds'
'108-18','TIPPER','Spayed Female','Feline',2638,8.13000000000000119,'pounds'
'108-4','ROMEO','Neutered Male','Feline',1245,10.8,'pounds'
'108-5','ELVIS','Neutered Male','Feline',4820,13.1,'pounds'
'1083-1','WENDY','Spayed Female','Canine',7019,43,'pounds'
'1083-2','TINKER BELL','Neutered Male','Feline',4204,10.01,'pounds'
'1083-3','TIGGER','Neutered Male','Feline',1715,7.15,'pounds'
'1084-2','RUSTY','Neutered Male','Canine',5192,88,'pounds'
